symbol,poolAddress,gaugeAddress,externalBribe,internalBribe
sAMM-WETH/ARKEN,0xa411bcfbefe717cbced45254099e9fbb3b28c9ab,0x518a93bc93df54ccc3254bbbbc4603d0dad67782,0xd76cf1fab34e2e2b67a1d704be64fd56ca9bb149,0x0575ea851d28b33dabbc4faa70a9809678a3a048
sAMM-WETH/rETH,0x43b019d5c7e2bd5c7fd16f2255bfde86a14942df,0x5212f79fa7f48c9319ea104bda49bfe892d016a2,0x9a9e2163f6ee7b93231a0bf6694d4d26d26cccdf,0xf100e3c8db0eb71df0d3a3e7afd52746e1fcce5d
vAMM-GMD/gmUSD,0x5fadcecf7ef4d08ce7f94093e3bdcb1abe642d85,0x54ff18c19485e2a4949243600655fa9d41b8bdd0,0xc6b37739cd241c370a4cb58c74e9c02f6a24ab31,0xb02d8054d42bcc83ef816d4fb7104b64f5d0bda8
vAMM-WETH/PEPE,0xf6ada8acea737d33fc983431b189a5943024366e,0x553401be284823c62f3f2ea23bdb8420730849e2,0xadb9fd11270e0b6a2e849c60b24b041fa94e3322,0x6aa2279e43bc991e35869746afc6293b663cd966
sAMM-GNS/WBTC,0x00f2a367fb0fd20b1f722af0f203427748c34808,0x559df0ab936ba80dc969e0a569bb4eefcacc99a1,0xfcd8ab56acd76f8e6da0c74350443c7c09adadb1,0xccdc173f068ccfbe926e5bb41c2ea2968693472d
vAMM-WETH/DEI,0x9d3fea3391ba6c57a9cf8f0a2385ab48ef037c3d,0x58e5c887c321a64194666623774f9e335c7024e8,0x089167747147f215a1bb251c714152b54f5f4525,0x6dba471b9829b766ba963704217c69f15515d61e
sAMM-plsRDNT/WETH,0x4381057434bfe65869fbe534ce925f183d552f2c,0x59e1000039882a8a93d178e0c85e9dde04bf608b,0x468bd78ff619a6c700e7fa77f7233282558d4eff,0x5f77be025dee457858fe53c641ea53feab875c53
sAMM-DEI/USDC,0x7dc406b9b904a52d10e19e848521bba2de74888b,0x5dd42d0004bf984914d26ad9046d62cc9c0162e1,0x565a69648964eb91f94090c2d5e89267e486e9bb,0x08110d0239f52ac0f8b22e716237393f776b5103
vAMM-WETH/xPORK,0x057453f35870f60f1fe6813fc306940700fd53b2,0x5efe00ed3585c35302a044ce8d8090d484d78deb,0xa166d166c68de7cc86eb00cd000619b427724bc6,0x5677bd2292d99d3af88fb9c53016a65eaf08443a
sAMM-MAI/DOLA,0x16b960924aa97aeeead947092ce120ecf3e09f15,0x5f1ebfb19e0451ee70d5c3136c268f719f737789,0x750fa091a7911a0548f8ac957d0549aa78a53e03,0x013a8f5b192034b34c4f6df17771b777e954c821
vAMM-CHR/USDC,0x20585bfbc272a9d58ad17582bcda9a5a57271d6a,0x600aa4393dc7118473651acf3a471dce847bfc35,0x1862bcc5e1214aa6606daab4c02f81d320a81195,0x754e715e1af454516ea7cbfed52f89ce2daa4615
sAMM-LUSD/USDC,0x4f7ecb899871114f75c052d94a74ebd316f20660,0x60d997abb4f7f8c622f54f1dc549e7290f18895d,0xefb0712a96123f6e3d722ad10cfb1d501fb49649,0x077784cf460ed2f01a91083954391498ba57f39d
vAMM-WETH/OATH,0x74d777e93e04933f32a1e96e6bebead8feac5cc2,0x61d224c5fc64dee1e95b03cdc98a9a184f4cc641,0x8d049753c60705789b734fe52ba8407559c09b1a,0x2432efc41eface4f4dbfafba9f692a021e80bdf8
